formula, formation_energy_per_atom, density, band_gap, total_magnetization, k, g, elastic_anisotropy
BaAlSi, -0.364183, 3.806506, 0.000000, 0.000409, 50.039201, 37.851509, 0.164307
BeAl2O4, -3.352918, 3.599682, 6.117700, 0.000958, 214.760010, 147.431807, 0.093418
BeAlB, -0.052391, 2.543527, 0.000000, 0.000029, 141.068261, 134.281282, 0.269638
BeAlIr2, -0.774928, 13.962701, 0.000000, 0.000191, 237.771018, 126.035525, 0.070755
BeAlRh2, -0.868894, 8.161792, 0.000000, 0.000484, 198.576464, 104.058954, 0.035651
Ca(Al2Cu)4, -0.266536, 4.211158, 0.000000, 0.002553, 92.860514, 63.042987, 0.023168
Ca(AlGa)2, -0.347466, 3.821550, 0.000000, 0.000446, 58.191231, 28.728011, 0.451897
Ca(AlGe)2, -0.390841, 3.617437, 0.000000, 0.004089, 58.422309, 39.713198, 0.232457
Ca(AlSi)2, -0.271135, 2.347097, 0.000000, 0.000888, 62.960753, 41.499649, 0.267249
Ca(AlZn)2, -0.289469, 3.825548, 0.000000, 0.000113, 61.494543, 37.328933, 0.346317
Ca3Al3N5, -1.349014, 3.034419, 2.617900, 0.000051, 115.133139, 65.207046, 1.372431
Ca3Al7Ag2, -0.310123, 3.533878, 0.000000, 0.015868, 63.123285, 40.054792, 0.038972
Ca3AlN3, -1.164926, 3.016465, 2.456500, 0.001961, 93.455372, 46.914408, 1.754721
Ca3AlSb3, -0.917237, 4.043706, 0.253400, 0.003362, 38.300135, 22.991939, 0.075641
Ca5(AlSb3)2, -0.859343, 4.237039, 0.168400, 0.000152, 39.413731, 23.399586, 0.129009
CaAl2, -0.327868, 2.425285, 0.000000, 0.007764, 56.463856, 41.367413, 0.001619
CaAl4O7, -3.463972, 2.813029, 3.999400, 0.000002, 114.582233, 49.639466, 0.772041
CaAlAu, -0.693878, 6.721813, 0.000000, 0.000876, 66.999507, 30.529565, 0.705749
CaAlPd, -0.736525, 4.518632, 0.000000, 0.005849, 63.444589, 30.061654, 1.129019
CaAlSi, -0.365389, 2.354365, 0.000000, 0.011294, 61.675328, 40.293084, 0.433900
CeAlPd, -0.782567, 7.296181, 0.000000, 0.007089, 94.410888, 40.652697, 0.274727
CsAlO2, -2.849799, 4.611662, 4.273500, 0.000039, 92.886168, 54.863543, 1.770747
Eu(AlGe)2, -0.425600, 5.177409, 0.000000, 6.976672, 57.657459, 37.545356, 0.352605
Eu(AlSi)2, -0.319079, 4.034207, 0.000000, 6.955282, 61.712180, 41.080366, 0.365937
Hf2Al3C4, -0.493379, 7.559589, 0.000000, 0.005025, 197.859732, 156.967291, 0.044906
HfAl2, -0.441319, 7.417121, 0.000000, 0.002488, 120.312216, 87.928423, 0.038601
HfAl3, -0.395299, 6.258947, 0.000000, 0.001267, 106.109567, 80.358803, 0.073172
HfAlCo2, -0.585678, 9.779118, 0.000000, 1.007154, 172.350303, 89.357555, 0.052742
HfAlCu2, -0.328565, 9.277710, 0.000000, 0.000468, 134.711772, 56.441992, 0.707011
HfAlNi2, -0.636474, 9.530654, 0.000000, 0.004348, 164.504484, 49.459730, 0.124193
HfAlPd2, -0.828651, 10.449848, 0.000000, 0.001195, 163.469992, 28.289498, 0.832686
HfAlPt, -1.042517, 12.571931, 0.000000, 0.000697, 163.711434, 78.513614, 0.416765
HfAlRu2, -0.756082, 10.977756, 0.000000, 0.010794, 194.710499, 80.224535, 0.020081
K2AlF5, -3.516090, 2.430933, 6.323900, 0.000638, 28.354511, 16.707655, 2.027886
LaAl, -0.411507, 5.190967, 0.000000, 0.000889, 53.384724, 34.438343, 0.159455
LaAlO3, -3.722193, 6.371512, 4.018900, 0.000188, 181.311849, 109.262674, 0.385803
Li2AlAg, -0.246341, 3.918742, 0.000000, 0.003563, 48.543532, 29.924724, 7.271993
Li2AlPd, -0.534961, 4.294103, 0.000000, 0.006715, 68.434808, 35.449012, 2.647123
Li2AlPt, -0.703323, 7.064854, 0.000000, 0.002151, 87.739144, 44.665132, 1.937415
Li3Al2, -0.187246, 1.538620, 0.000000, 0.000903, 39.735313, 40.678239, 2.019191
Li3AlN2, -0.967632, 2.334211, 2.937100, 0.000000, 104.493185, 102.235459, 0.132239
LiAl, -0.177638, 1.754628, 0.000000, 0.000199, 49.794396, 45.404081, 1.492544
LiAl2Ir, -0.736202, 7.608513, 0.000000, 0.000474, 134.960047, 70.756372, 3.857054
LiAl2Ni, -0.470410, 3.917294, 0.000000, 0.000406, 101.998300, 71.626327, 2.685693
LiAl2Pd, -0.640417, 4.875656, 0.000000, 0.002287, 104.176373, 61.681546, 4.382013
LiAl2Pt, -0.827009, 7.526715, 0.000000, 0.001143, 126.875530, 69.287729, 4.031594
LiAl2Rh, -0.707891, 4.941954, 0.000000, 0.000017, 118.575047, 68.592232, 2.627517
LiAl3, -0.101637, 2.237075, 0.000000, 0.000293, 64.088620, 44.368857, 0.131852
LiAl5O8, -3.353554, 3.517311, 5.249100, 0.000000, 196.221173, 127.851098, 0.606259
LiAlAg2, -0.253197, 6.463471, 0.000000, 0.002321, 68.576458, 34.987210, 4.363341
LiAlAu2, -0.551761, 11.312645, 0.000000, 0.000185, 93.529845, 39.232696, 2.483794
LiAlCu2, -0.221279, 5.265674, 0.000000, 0.001994, 88.138589, 50.855720, 3.845580
LiAlGe, -0.291342, 3.245854, 0.052700, 0.000993, 60.956155, 50.959209, 0.044618
LiAlNi2, -0.399544, 5.466500, 0.000000, 0.005884, 120.400759, 45.098835, -7.029273
LiAlO2, -3.082883, 2.530052, 4.589900, 0.000000, 93.728309, 53.306356, 0.167338
LiAlPd2, -0.815359, 7.418090, 0.000000, 0.000427, 129.033417, 28.047267, -5.657743
LiAlPt2, -0.939068, 12.875143, 0.000000, 0.000032, 161.485432, 0.626703, -4.988307
LiAlRh2, -0.669521, 7.593318, 0.000000, 0.000012, 148.443752, 64.522609, 0.077072
LiAlSi, -0.191266, 1.966694, 0.076500, 0.000616, 62.992534, 55.650833, 0.036619
LiAlTe2, -0.925177, 3.905931, 2.457200, 0.003159, 26.630517, 14.140806, 0.975757
LiCa2Al, -0.143257, 1.724526, 0.000000, 0.001819, 28.684277, 21.727542, 1.338089
LiY2Al, -0.244003, 3.595055, 0.000000, 0.002389, 49.551308, 34.852627, 0.650317
Mg17Al12, -0.027029, 2.094692, 0.000000, 0.000617, 49.670165, 24.546087, 0.305112
Mg2Al2Se5, -1.310096, 3.765717, 1.970000, 0.011782, 25.991773, 15.478621, 24.361430
MgAl2Cu, -0.182407, 3.553152, 0.000000, 0.002845, 77.988850, 49.824547, 0.366338
MgAl2O4, -3.374314, 3.464623, 5.109500, 0.000131, 180.375591, 106.375966, 1.239309
MgAlAg2, -0.180499, 6.367013, 0.000000, 0.000215, 78.183858, 35.359753, 10.848255
MgAlIr2, -0.701067, 12.671540, 0.000000, 0.000167, 188.813785, 107.626874, 0.032624
MgAlPd2, -0.833765, 7.197970, 0.000000, 0.000991, 122.761835, 44.528895, 3.319552
MgAlRh2, -0.841733, 7.496092, 0.000000, 0.000631, 157.119125, 84.855495, 0.004702
MgSc2Al, -0.284411, 2.827088, 0.000000, 0.001747, 64.742247, 51.191969, 2.828140
Mn2AlB2, -0.469986, 5.786357, 0.000000, 0.828828, 220.876766, 161.376006, 0.272100
Mn2AlCr, -0.161059, 6.653174, 0.000000, 1.005325, 194.438821, 104.307961, 0.202543
Mn2AlRe, -0.198629, 10.759367, 0.000000, 0.000775, 259.461057, 130.442722, 0.063811
Mn2AlV, -0.317611, 6.337605, 0.000000, 1.999859, 184.521486, 101.705495, 0.412584
Mn2AlW, -0.215196, 10.371409, 0.000000, 1.004434, 235.852415, 129.106972, 0.127770
Mn2NbAl, -0.256541, 7.002487, 0.000000, 1.998022, 190.432379, 101.780113, 0.254250
Mn3Al9Si, -0.270366, 3.905078, 0.000000, 5.396018, 117.116572, 79.090742, 0.025254
Mn3AlC, -0.191933, 6.135568, 0.000000, 3.899088, 215.334204, 132.553599, 0.316840
Mn4Al11, -0.276991, 4.068219, 0.000000, 1.003055, 125.880931, 86.249158, 0.168288
MnAl, -0.272286, 5.127965, 0.000000, 2.322972, 135.477546, 93.135101, 1.293264
MnAl2O4, -3.047750, 4.008120, 2.657800, 0.000000, 180.219678, 85.147348, 0.988915
MnAl6, -0.173698, 3.352783, 0.000000, 0.001021, 103.885015, 68.711558, 0.206426
MnAlCo2, -0.369196, 7.162481, 0.000000, 4.005795, 191.796038, 114.097556, 1.071658
MnAlFe2, -0.186345, 7.019573, 0.000000, 1.857324, 196.025813, 129.095389, 0.664995
MnAlGe, -0.207620, 5.706358, 0.000000, 3.969699, 114.041911, 66.935142, 0.413536
MnAlIr2, -0.590661, 13.893392, 0.000000, 4.000820, 230.633079, 111.874390, 0.885132
MnAlOs2, -0.261295, 14.236715, 0.000000, 0.000427, 257.982888, 150.490905, 0.469916
MnAlRh2, -0.683729, 8.642107, 0.000000, 4.036507, 184.448477, 96.353647, 0.314120
MnAlRu2, -0.414145, 8.796417, 0.000000, 2.060770, 218.072982, 130.734010, 0.265322
Na2LiAlP2, -0.636602, 2.050051, 1.885300, 0.000017, 40.272951, 28.423628, 0.285154
Na3AlAs2, -0.512772, 2.728978, 0.847200, 0.000174, 24.439721, 13.623240, 0.893635
Na3AlF6, -3.394869, 2.844097, 6.719700, 0.000000, 51.117683, 28.476814, 0.213051
Na3AlP2, -0.511031, 1.910728, 1.346000, 0.000315, 29.115206, 16.498683, 0.648062
NaAlGe, -0.189364, 3.137343, 0.000000, 0.000005, 37.024530, 20.633196, 0.252648
NaAlH4, -0.250305, 1.301806, 4.666600, 0.000023, 19.373565, 12.392773, 0.174632
NaAlO2, -2.933971, 2.668606, 3.796800, 0.000277, 81.993256, 47.102694, 0.594229
NaAlSi, -0.071779, 2.069717, 0.000000, 0.001197, 42.090423, 23.057713, 0.157189
NaAlTe2, -0.881441, 4.269131, 1.287500, 0.000034, 22.956245, 11.681876, -38.579686
Nb2Al, -0.293137, 6.789454, 0.000000, 0.004957, 160.605815, 83.053577, 0.073209
Nb2AlC, -0.505514, 6.313226, 0.000000, 0.000065, 173.267681, 115.262552, 0.130407
Nb3AlC2, -0.522149, 6.702489, 0.000000, 0.003174, 202.840225, 137.499007, 0.071483
NbAl3, -0.428646, 4.501844, 0.000000, 0.001172, 126.986695, 106.693712, 0.170798
NbAlCo2, -0.428808, 7.408918, 0.000000, 1.996231, 192.044412, 93.331163, 0.385916
NbAlFe2, -0.375760, 7.347107, 0.320700, 0.000301, 211.839337, 123.841572, 0.000375
NbAlO4, -3.226088, 4.164170, 3.383500, 0.000803, 172.651066, 77.102888, 0.391545
NbAlOs2, -0.438211, 13.665639, 0.000000, 0.001552, 262.212653, 129.742904, 0.002080
NbAlRu2, -0.646952, 8.956132, 0.000000, 0.008493, 230.519134, 116.911293, 0.010060
RbAlO2, -2.861166, 3.591384, 3.371600, 0.000000, 92.204316, 51.742620, 2.629992
Sc(Al2Fe)4, -0.425528, 4.348807, 0.000000, 5.112066, 126.433094, 86.997464, 0.192225
Sc(AlC)3, -0.346909, 3.272985, 0.022300, 0.010904, 167.709612, 138.663920, 0.039651
Sc(MnAl2)4, -0.334805, 4.115221, 0.000000, 6.892839, 103.207848, 78.439760, 0.296892
Sc2Al, -0.350948, 3.024175, 0.000000, 0.350383, 70.523658, 45.295063, 0.196830
Sc2Al3Ru, -0.651631, 4.337630, 0.000000, 0.024290, 112.292142, 68.457670, 0.158766
